game_id,season,game_date,home_team,away_team,home_pts,away_pts,margin,total_points,home_win,home_games_played,home_wins,home_losses,home_win_pct,home_pts_for_total,home_pts_for_per_game,home_plus_minus_total,home_plus_minus_per_game,home_recent_games,home_recent_wins,home_recent_losses,home_recent_plus_minus_total,home_recent_plus_minus_per_game,away_games_played,away_wins,away_losses,away_win_pct,away_pts_for_total,away_pts_for_per_game,away_plus_minus_total,away_plus_minus_per_game,away_recent_games,away_recent_wins,away_recent_losses,away_recent_plus_minus_total,away_recent_plus_minus_per_game,diff_games_played,diff_wins,diff_losses,diff_win_pct,diff_pts_for_per_game,diff_plus_minus_per_game,diff_recent_wins,diff_recent_losses,diff_recent_plus_minus_per_game
0022500090,2025-26,2025-10-24,ORL,ATL,107.0,111.0,-4.0,218.0,0.0,1.0,1.0,0.0,1.0,125.0,125.0,4.0,4.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,118.0,118.0,-20.0,-20.0,1.0,0.0,1.0,-20.0,-20.0,0.0,1.0,-1.0,1.0,7.0,24.0,1.0,-1.0,24.0
0022500091,2025-26,2025-10-24,BKN,CLE,124.0,131.0,-7.0,255.0,0.0,1.0,0.0,1.0,0.0,117.0,117.0,-19.0,-19.0,1.0,0.0,1.0,-19.0,-19.0,1.0,0.0,1.0,0.0,111.0,111.0,-8.0,-8.0,1.0,0.0,1.0,-8.0,-8.0,0.0,0.0,0.0,0.0,6.0,-11.0,0.0,0.0,-11.0
0022500092,2025-26,2025-10-24,TOR,MIL,116.0,122.0,-6.0,238.0,0.0,1.0,1.0,0.0,1.0,138.0,138.0,20.0,20.0,1.0,1.0,0.0,20.0,20.0,1.0,1.0,0.0,1.0,133.0,133.0,13.0,13.0,1.0,1.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,7.0
0022500093,2025-26,2025-10-24,HOU,DET,111.0,115.0,-4.0,226.0,0.0,1.0,0.0,1.0,0.0,124.0,124.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,111.0,111.0,-4.0,-4.0,1.0,0.0,1.0,-4.0,-4.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,3.0
0022500094,2025-26,2025-10-24,MEM,MIA,114.0,146.0,-32.0,260.0,0.0,1.0,1.0,0.0,1.0,128.0,128.0,6.0,6.0,1.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,121.0,121.0,-4.0,-4.0,1.0,0.0,1.0,-4.0,-4.0,0.0,1.0,-1.0,1.0,7.0,10.0,1.0,-1.0,10.0
0022500096,2025-26,2025-10-24,DAL,WAS,107.0,117.0,-10.0,224.0,0.0,1.0,0.0,1.0,0.0,92.0,92.0,-33.0,-33.0,1.0,0.0,1.0,-33.0,-33.0,1.0,0.0,1.0,0.0,120.0,120.0,-13.0,-13.0,1.0,0.0,1.0,-13.0,-13.0,0.0,0.0,0.0,0.0,-28.0,-20.0,0.0,0.0,-20.0
0022500097,2025-26,2025-10-24,POR,GSW,139.0,119.0,20.0,258.0,1.0,1.0,0.0,1.0,0.0,114.0,114.0,-4.0,-4.0,1.0,0.0,1.0,-4.0,-4.0,2.0,2.0,0.0,1.0,256.0,128.0,16.0,8.0,2.0,2.0,0.0,16.0,8.0,-1.0,-2.0,1.0,-1.0,-14.0,-12.0,-2.0,1.0,-12.0
0022500098,2025-26,2025-10-24,SAC,UTA,105.0,104.0,1.0,209.0,1.0,1.0,0.0,1.0,0.0,116.0,116.0,-4.0,-4.0,1.0,0.0,1.0,-4.0,-4.0,1.0,1.0,0.0,1.0,129.0,129.0,21.0,21.0,1.0,1.0,0.0,21.0,21.0,0.0,-1.0,1.0,-1.0,-13.0,-25.0,-1.0,1.0,-25.0
0022500099,2025-26,2025-10-24,LAC,PHX,129.0,102.0,27.0,231.0,1.0,1.0,0.0,1.0,0.0,108.0,108.0,-21.0,-21.0,1.0,0.0,1.0,-21.0,-21.0,1.0,1.0,0.0,1.0,120.0,120.0,4.0,4.0,1.0,1.0,0.0,4.0,4.0,0.0,-1.0,1.0,-1.0,-12.0,-25.0,-1.0,1.0,-25.0
0022500100,2025-26,2025-10-25,ORL,CHI,98.0,110.0,-12.0,208.0,0.0,2.0,1.0,1.0,0.5,232.0,116.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,115.0,115.0,4.0,4.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,-0.5,1.0,-4.0,0.0,1.0,-4.0
0022500101,2025-26,2025-10-25,ATL,OKC,100.0,117.0,-17.0,217.0,0.0,2.0,1.0,1.0,0.5,229.0,114.5,-16.0,-8.0,2.0,1.0,1.0,-16.0,-8.0,2.0,2.0,0.0,1.0,266.0,133.0,7.0,3.5,2.0,2.0,0.0,7.0,3.5,0.0,-1.0,1.0,-0.5,-18.5,-11.5,-1.0,1.0,-11.5
0022500102,2025-26,2025-10-25,PHI,CHA,125.0,121.0,4.0,246.0,1.0,1.0,1.0,0.0,1.0,117.0,117.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,136.0,136.0,19.0,19.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,-19.0,-18.0,0.0,0.0,-18.0
