team,season,player_id,player_name,impact_off_per_possession,impact_def_per_possession,impact_per_possession,impact_off_per_100,impact_def_per_100,impact_per_100,exposure_stint_units
ATL,2025-26,1642357,David Jones Garcia,0.2041672021150589,0.06216998025774956,0.26633745431900024,20.41672021150589,6.216998025774956,26.633745431900024,83.0
ATL,2025-26,203114,Khris Middleton,0.18987557291984558,-0.015460462309420109,0.17441505193710327,18.987557291984558,-1.5460462309420109,17.441505193710327,138.0
ATL,2025-26,1642273,Kyshawn George,0.20880618691444397,-0.04477959871292114,0.16402661800384521,20.880618691444397,-4.477959871292114,16.40266180038452,159.0
ATL,2025-26,202685,Jonas Valančiūnas,0.0028446894139051437,0.16013310849666595,0.16297772526741028,0.2844689413905144,16.013310849666595,16.297772526741028,51.0
ATL,2025-26,202695,Kawhi Leonard,-0.24269017577171326,0.39760616421699524,0.15491579473018646,-24.269017577171326,39.760616421699524,15.491579473018646,145.0
ATL,2025-26,1631105,Jalen Duren,0.13782960176467896,0.006091715767979622,0.14392128586769104,13.782960176467896,0.6091715767979622,14.392128586769104,379.0
ATL,2025-26,1630543,Isaiah Jackson,0.1375756859779358,0.005761820822954178,0.143337681889534,13.757568597793579,0.5761820822954178,14.3337681889534,125.0
ATL,2025-26,1631210,Jacob Toppin,0.05178748816251755,0.08572573959827423,0.13751327991485596,5.178748816251755,8.572573959827423,13.751327991485596,73.0
ATL,2025-26,1630245,Ayo Dosunmu,0.1467461735010147,-0.011908120475709438,0.13483810424804688,14.674617350101471,-1.1908120475709438,13.483810424804688,111.0
ATL,2025-26,1629661,Cameron Johnson,-0.11844183504581451,0.25007152557373047,0.1316295862197876,-11.844183504581451,25.007152557373047,13.16295862197876,153.0
ATL,2025-26,1642920,Kobe Sanders,-0.1930774301290512,0.32261979579925537,0.12954236567020416,-19.30774301290512,32.26197957992554,12.954236567020416,108.0
ATL,2025-26,1630587,Isaiah Livers,0.1259496957063675,0.002446630736812949,0.12839627265930176,12.59496957063675,0.24466307368129492,12.839627265930176,73.0
ATL,2025-26,1630170,Devin Vassell,0.1739092618227005,-0.0461738295853138,0.12773557007312775,17.39092618227005,-4.61738295853138,12.773557007312775,148.0
ATL,2025-26,1627750,Jamal Murray,-0.1149354875087738,0.24054299294948578,0.12560753524303436,-11.49354875087738,24.054299294948578,12.560753524303436,174.0
ATL,2025-26,1630163,LaMelo Ball,0.2473011463880539,-0.12237205356359482,0.12492913007736206,24.73011463880539,-12.237205356359482,12.492913007736206,128.0
ATL,2025-26,1627747,Caris LeVert,0.3933262526988983,-0.2715648114681244,0.12176148593425751,39.33262526988983,-27.15648114681244,12.17614859342575,202.0
ATL,2025-26,1629750,Javonte Green,-0.03001047670841217,0.15075138211250305,0.12074094265699387,-3.001047670841217,15.075138211250305,12.074094265699387,234.0
ATL,2025-26,1630577,Julian Champagnie,0.15917432308197021,-0.04328390955924988,0.11589039117097855,15.917432308197021,-4.328390955924988,11.589039117097855,149.0
ATL,2025-26,202696,Nikola Vučević,0.12390037626028061,-0.008917388506233692,0.11498289555311203,12.390037626028061,-0.8917388506233692,11.498289555311203,150.0
ATL,2025-26,1630572,Sandro Mamukelashvili,-0.0028151734732091427,0.11057621985673904,0.10776114463806152,-0.28151734732091427,11.057621985673904,10.776114463806152,161.0
ATL,2025-26,1631133,Jabari Walker,-0.15014693140983582,0.25496554374694824,0.10481869429349899,-15.014693140983582,25.496554374694824,10.4818694293499,75.0
ATL,2025-26,1641731,Bilal Coulibaly,0.0888756513595581,0.015927506610751152,0.10480313748121262,8.88756513595581,1.5927506610751152,10.480313748121262,161.0
ATL,2025-26,1626204,Larry Nance Jr.,0.13627080619335175,-0.034935902804136276,0.1013348326086998,13.627080619335175,-3.4935902804136276,10.13348326086998,148.0
ATL,2025-26,1642419,Jamison Battle,0.059136345982551575,0.04078640416264534,0.09992273896932602,5.9136345982551575,4.078640416264534,9.992273896932602,65.0
ATL,2025-26,1631217,Moussa Diabaté,0.04977921023964882,0.04457328841090202,0.09435242414474487,4.977921023964882,4.457328841090202,9.435242414474487,178.0
