team,season,player_id,player_name,impact_off_per_possession,impact_def_per_possession,impact_per_possession,impact_off_per_100,impact_def_per_100,impact_per_100,exposure_stint_units
CLE,2025-26,1627759,Jaylen Brown,0.1768217533826828,0.04137697070837021,0.21819883584976196,17.68217533826828,4.137697070837021,21.819883584976196,290.0
CLE,2025-26,1629006,Josh Okogie,0.034761663526296616,0.1689971387386322,0.2037586122751236,3.4761663526296616,16.89971387386322,20.37586122751236,37.0
CLE,2025-26,1630170,Devin Vassell,0.012468810193240643,0.16310252249240875,0.17557120323181152,1.2468810193240643,16.310252249240875,17.557120323181152,132.0
CLE,2025-26,1630193,Immanuel Quickley,0.048344336450099945,0.11223398149013519,0.16057829558849335,4.8344336450099945,11.22339814901352,16.057829558849335,380.0
CLE,2025-26,203924,Jerami Grant,-0.010955216363072395,0.1640995889902115,0.1531444489955902,-1.0955216363072395,16.40995889902115,15.314444899559021,156.0
CLE,2025-26,1628963,Marvin Bagley III,0.1632557511329651,-0.015049153007566929,0.14820663630962372,16.32557511329651,-1.5049153007566929,14.820663630962372,208.0
CLE,2025-26,1630643,Jay Huff,0.15543752908706665,-0.009882481768727303,0.14555492997169495,15.543752908706665,-0.9882481768727303,14.555492997169495,217.0
CLE,2025-26,1642419,Jamison Battle,-0.10466259717941284,0.24961479008197784,0.1449522227048874,-10.466259717941284,24.961479008197784,14.495222270488739,103.0
CLE,2025-26,1631157,Ryan Rollins,0.03559358790516853,0.10601937770843506,0.14161290228366852,3.5593587905168533,10.601937770843506,14.161290228366852,257.0
CLE,2025-26,1630194,Paul Reed,0.1323087513446808,0.00036873779026791453,0.1326775997877121,13.230875134468079,0.03687377902679145,13.26775997877121,33.0
CLE,2025-26,1628384,OG Anunoby,0.25259536504745483,-0.12850475311279297,0.1240905374288559,25.259536504745483,-12.850475311279297,12.40905374288559,171.0
CLE,2025-26,1629674,Neemias Queta,0.2310979813337326,-0.11364354938268661,0.11745452880859375,23.10979813337326,-11.364354938268661,11.745452880859375,107.0
CLE,2025-26,1642347,Jamal Shead,0.012646994553506374,0.10444031655788422,0.11708739399909973,1.2646994553506374,10.444031655788422,11.708739399909973,296.0
CLE,2025-26,1627826,Ivica Zubac,-0.01144786924123764,0.12806937098503113,0.1166214793920517,-1.144786924123764,12.806937098503113,11.66214793920517,140.0
CLE,2025-26,1631095,Jabari Smith Jr.,-0.007851461879909039,0.11722481995820999,0.10937336087226868,-0.7851461879909039,11.722481995821,10.937336087226868,137.0
CLE,2025-26,1641753,Chris Livingston,-0.14939112961292267,0.25647851824760437,0.10708742588758469,-14.939112961292267,25.647851824760437,10.708742588758469,75.0
CLE,2025-26,1631107,Nikola Jović,0.15115061402320862,-0.0474674254655838,0.10368296504020691,15.115061402320862,-4.74674254655838,10.368296504020691,229.0
CLE,2025-26,1630171,Isaac Okoro,-0.12028995901346207,0.22220264375209808,0.10191281884908676,-12.028995901346207,22.22026437520981,10.191281884908676,146.0
CLE,2025-26,1641748,Andre Jackson Jr.,-0.008208878338336945,0.10239794105291367,0.09418901056051254,-0.8208878338336945,10.239794105291367,9.418901056051254,23.0
CLE,2025-26,1642267,Bub Carrington,0.2844490110874176,-0.1917308270931244,0.09271817654371262,28.44490110874176,-19.17308270931244,9.271817654371262,322.0
CLE,2025-26,1631101,Shaedon Sharpe,-0.07125060260295868,0.15887267887592316,0.0876220092177391,-7.125060260295868,15.887267887592316,8.76220092177391,157.0
CLE,2025-26,1642276,Kel'el Ware,0.14467130601406097,-0.05745726078748703,0.08721397817134857,14.467130601406097,-5.745726078748703,8.721397817134857,258.0
CLE,2025-26,1630188,Jalen Smith,-0.0034773601219058037,0.08981698006391525,0.0863395482301712,-0.34773601219058037,8.981698006391525,8.63395482301712,88.0
CLE,2025-26,1629008,Michael Porter Jr.,0.17801378667354584,-0.09599614143371582,0.08201774209737778,17.801378667354584,-9.599614143371582,8.201774209737778,168.0
CLE,2025-26,1627752,Taurean Prince,0.0017686374485492706,0.0767495185136795,0.07851823419332504,0.17686374485492706,7.67495185136795,7.851823419332504,128.0
CLE,2025-26,1630700,Dyson Daniels,0.214789479970932,-0.1374831348657608,0.07730627804994583,21.4789479970932,-13.74831348657608,7.730627804994583,346.0
CLE,2025-26,1630541,Moses Moody,0.03593628853559494,0.0412033349275589,0.07713965326547623,3.593628853559494,4.12033349275589,7.713965326547623,72.0
CLE,2025-26,203486,Mason Plumlee,-0.0018942315364256501,0.07866505533456802,0.07677089422941208,-0.189423153642565,7.866505533456802,7.677089422941208,41.0
CLE,2025-26,1641824,Matas Buzelis,-0.03623918816447258,0.11285198479890823,0.07661272585391998,-3.623918816447258,11.285198479890823,7.661272585391998,85.0
CLE,2025-26,1641763,Julian Phillips,-0.06053189933300018,0.13663481175899506,0.07610300928354263,-6.053189933300018,13.663481175899506,7.610300928354263,16.0
CLE,2025-26,1641708,Amen Thompson,-0.03593742474913597,0.10998376458883286,0.07404617220163345,-3.593742474913597,10.998376458883286,7.404617220163345,172.0
CLE,2025-26,1630570,Trendon Watford,-0.016695598140358925,0.08765391260385513,0.07095827162265778,-1.6695598140358925,8.765391260385513,7.095827162265778,102.0
CLE,2025-26,1629656,Quentin Grimes,-0.10819040983915329,0.17900964617729187,0.07081913948059082,-10.819040983915329,17.900964617729187,7.081913948059082,141.0
CLE,2025-26,1630540,Miles McBride,0.14243169128894806,-0.07216597348451614,0.07026565074920654,14.243169128894806,-7.216597348451614,7.026565074920654,129.0
