team,season,player_id,player_name,impact_off_per_possession,impact_def_per_possession,impact_per_possession,impact_off_per_100,impact_def_per_100,impact_per_100,exposure_stint_units
MEM,2025-26,1642274,Yves Missi,0.09269572794437408,0.0727631226181984,0.16545894742012024,9.269572794437408,7.2763122618198395,16.545894742012024,195.0
MEM,2025-26,1630202,Payton Pritchard,0.19519037008285522,-0.0459146723151207,0.14927582442760468,19.519037008285522,-4.59146723151207,14.927582442760468,121.0
MEM,2025-26,1628983,Shai Gilgeous-Alexander,-0.03288644552230835,0.1682901382446289,0.1354036182165146,-3.288644552230835,16.82901382446289,13.540361821651459,162.0
MEM,2025-26,1629640,Keldon Johnson,0.19530202448368073,-0.06055624410510063,0.13474611937999725,19.530202448368073,-6.055624410510063,13.474611937999725,261.0
MEM,2025-26,1631107,Nikola Jović,-0.035991325974464417,0.16969414055347443,0.13370276987552643,-3.5991325974464417,16.969414055347443,13.370276987552643,143.0
MEM,2025-26,1629731,Dean Wade,0.15649673342704773,-0.022962741553783417,0.13353390991687775,15.649673342704773,-2.2962741553783417,13.353390991687775,107.0
MEM,2025-26,1630631,Jose Alvarado,0.28570953011512756,-0.15569579601287842,0.13001342117786407,28.570953011512756,-15.569579601287842,13.001342117786407,89.0
MEM,2025-26,1631321,Sidy Cissoko,-0.013501204550266266,0.14238597452640533,0.12888480722904205,-1.3501204550266266,14.238597452640533,12.888480722904205,102.0
MEM,2025-26,1628384,OG Anunoby,0.18046070635318756,-0.05273338034749031,0.12772725522518158,18.046070635318756,-5.273338034749031,12.772725522518158,176.0
MEM,2025-26,1629628,RJ Barrett,0.1519261598587036,-0.025515854358673096,0.12641027569770813,15.192615985870361,-2.5515854358673096,12.641027569770813,143.0
MEM,2025-26,1631170,Jaime Jaquez Jr.,0.03238430246710777,0.09337522834539413,0.12575940787792206,3.2384302467107773,9.337522834539413,12.575940787792206,139.0
MEM,2025-26,1628374,Lauri Markkanen,0.016824714839458466,0.10023932158946991,0.11706410348415375,1.6824714839458466,10.023932158946991,11.706410348415375,169.0
MEM,2025-26,1630543,Isaiah Jackson,-0.01599777303636074,0.1274002492427826,0.11140245944261551,-1.599777303636074,12.74002492427826,11.140245944261551,54.0
MEM,2025-26,1642877,Micah Peavy,0.2786419093608856,-0.16813898086547852,0.11050282418727875,27.864190936088562,-16.81389808654785,11.050282418727875,78.0
MEM,2025-26,1630314,Brandon Williams,0.035414282232522964,0.0742526575922966,0.1096668541431427,3.5414282232522964,7.42526575922966,10.96668541431427,217.0
MEM,2025-26,1630208,Nick Richards,0.11950282007455826,-0.012177039869129658,0.10732574015855789,11.950282007455826,-1.2177039869129658,10.73257401585579,52.0
MEM,2025-26,1641708,Amen Thompson,-0.0408877395093441,0.14575305581092834,0.1048651710152626,-4.08877395093441,14.575305581092834,10.48651710152626,177.0
MEM,2025-26,1641764,Brandin Podziemski,0.2007729709148407,-0.10330305993556976,0.09746979922056198,20.07729709148407,-10.330305993556976,9.746979922056198,147.0
MEM,2025-26,1642949,Yanic Konan Niederhäuser,0.15478035807609558,-0.060121044516563416,0.09465936571359634,15.478035807609558,-6.0121044516563416,9.465936571359634,12.0
MEM,2025-26,1642349,Ajay Mitchell,0.008709350600838661,0.07839008420705795,0.08709937334060669,0.8709350600838661,7.839008420705795,8.709937334060669,147.0
MEM,2025-26,203084,Harrison Barnes,0.18867957592010498,-0.10208973288536072,0.08658977597951889,18.867957592010498,-10.208973288536072,8.658977597951889,287.0
MEM,2025-26,1642285,Cam Spencer,0.03037312440574169,0.054202329367399216,0.08457545191049576,3.037312440574169,5.420232936739922,8.457545191049576,2389.0
MEM,2025-26,1628370,Malik Monk,0.23220717906951904,-0.14871564507484436,0.08349146693944931,23.220717906951904,-14.871564507484436,8.349146693944931,212.0
MEM,2025-26,1629060,Rui Hachimura,-0.08037691563367844,0.1626356542110443,0.0822586715221405,-8.037691563367844,16.26356542110443,8.22586715221405,154.0
MEM,2025-26,1642920,Kobe Sanders,-0.10340307652950287,0.18065445125102997,0.07725146412849426,-10.340307652950287,18.065445125102997,7.725146412849426,229.0
MEM,2025-26,1628401,Derrick White,0.10867434740066528,-0.03157052397727966,0.07710379362106323,10.867434740066528,-3.1570523977279663,7.710379362106323,105.0
MEM,2025-26,1630192,Zeke Nnaji,-0.0006312557961791754,0.0772503986954689,0.07661912590265274,-0.06312557961791754,7.72503986954689,7.661912590265274,62.0
MEM,2025-26,1642905,Hansen Yang,-0.06431063264608383,0.13777925074100494,0.07346858084201813,-6.431063264608383,13.777925074100494,7.346858084201813,81.0
MEM,2025-26,1641709,Ausar Thompson,-0.08211614191532135,0.15466582775115967,0.07254977524280548,-8.211614191532135,15.466582775115967,7.254977524280548,106.0
MEM,2025-26,1642964,Brooks Barnhizer,0.014020739123225212,0.058180369436740875,0.07220110297203064,1.4020739123225212,5.8180369436740875,7.220110297203064,30.0
